condition_id	diagram	generator_family	homolog_separation	contacts_per_cell	cis_fraction	background_fraction	resolution_bp	chromosome_count	chromosome_length_bins	readchain_length	molecule_count	count_overdispersion	anchor_fraction	base_seed	replicate_seeds	replicates	grid_policy	grid_stage	truth_used_in_inference	likelihood_match_status
contacts_x_homolog_separation__model_mismatched__d6000__sep1.6__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	1.6	6000	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	1716974093,1716975102,1716976111	3	scientific_slices_not_cartesian	transition_refinement	none	MISMATCHED_OR_MOLECULE_COMPOSITE
trans_fraction_x_background__model_mismatched__d1200__sep1__cis0.9__bg0__a0__r2__m0	trans_fraction_x_background	model_mismatched	1.0	1200	0.9	0.0	1000000	3	10	2	0	0.2	0.0	17	3491375330,3491376339,3491377348	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
trans_fraction_x_background__model_mismatched__d1200__sep1__cis0.9__bg0.2__a0__r2__m0	trans_fraction_x_background	model_mismatched	1.0	1200	0.9	0.2	1000000	3	10	2	0	0.2	0.0	17	2249740317,2249741326,2249742335	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
trans_fraction_x_background__model_mismatched__d1200__sep1__cis0.9__bg0.5__a0__r2__m0	trans_fraction_x_background	model_mismatched	1.0	1200	0.9	0.5	1000000	3	10	2	0	0.2	0.0	17	1028679743,1028680752,1028681761	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
trans_fraction_x_background__model_mismatched__d1200__sep1__cis0.5__bg0__a0__r2__m0	trans_fraction_x_background	model_mismatched	1.0	1200	0.5	0.0	1000000	3	10	2	0	0.2	0.0	17	3039023941,3039024950,3039025959	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
trans_fraction_x_background__model_mismatched__d1200__sep1__cis0.5__bg0.2__a0__r2__m0	trans_fraction_x_background	model_mismatched	1.0	1200	0.5	0.2	1000000	3	10	2	0	0.2	0.0	17	289246293,289247302,289248311	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
trans_fraction_x_background__model_mismatched__d1200__sep1__cis0.5__bg0.5__a0__r2__m0	trans_fraction_x_background	model_mismatched	1.0	1200	0.5	0.5	1000000	3	10	2	0	0.2	0.0	17	26684861,26685870,26686879	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
trans_fraction_x_background__model_mismatched__d1200__sep1__cis0.1__bg0__a0__r2__m0	trans_fraction_x_background	model_mismatched	1.0	1200	0.09999999999999998	0.0	1000000	3	10	2	0	0.2	0.0	17	558138341,558139350,558140359	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
trans_fraction_x_background__model_mismatched__d1200__sep1__cis0.1__bg0.2__a0__r2__m0	trans_fraction_x_background	model_mismatched	1.0	1200	0.09999999999999998	0.2	1000000	3	10	2	0	0.2	0.0	17	733388528,733389537,733390546	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
trans_fraction_x_background__model_mismatched__d1200__sep1__cis0.1__bg0.5__a0__r2__m0	trans_fraction_x_background	model_mismatched	1.0	1200	0.09999999999999998	0.5	1000000	3	10	2	0	0.2	0.0	17	3003998070,3003999079,3004000088	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
